,month,Amount,,% diff.
1,1/1/2011,13918.53,7725.374488,-44%
2,1/2/2011,10060.57,8478.666459,-16%
3,1/3/2011,11829.71,9494.403951,-20%
4,1/4/2011,7535.38,5703.040819,-24%
5,1/5/2011,10229.3,7074.040269,-31%
6,1/6/2011,11848.66,6894.303718,-42%
7,1/7/2011,12841,7000.034807,-45%
8,1/8/2011,13400.52,6845.513269,-49%
9,1/9/2011,15177.4,6468.314389,-57%
10,1/10/2011,17955.13,6982.781938,-61%
11,1/11/2011,36905.4,14678.96001,-60%
12,1/12/2011,19872.69,34485.80439,74%
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
