"","x","decomDOT$trend"
"1",3.27528765549718,NA
"2",1.1626547989667,NA
"3",0.805260949628846,NA
"4",0.901730570350965,NA
"5",0.541646034524891,NA
"6",0.671856643011057,NA
"7",0.654786172533881,9420.7175
"8",0.664827977776456,10315.6341666667
"9",0.650152301923674,10573.7629166667
"10",0.614398118241622,10800.9720833333
"11",0.663265238032483,10992.02125
"12",1.39413353951224,11307.28625
"13",3.27528765549718,11796.2683333333
"14",1.1626547989667,12342.4145833333
"15",0.805260949628846,12880.8195833333
"16",0.901730570350965,13525.5475
"17",0.541646034524891,14343.2358333333
"18",0.671856643011057,15697.3683333333
"19",0.654786172533881,15864.6020833333
"20",0.664827977776456,NA
"21",0.650152301923674,NA
"22",0.614398118241622,NA
"23",0.663265238032483,NA
"24",1.39413353951224,NA
"25",3.27528765549718,NA
